Listagem de Publicações Periódicas ativas à data de 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DENOMINAÇÃO,SUPORTE,ÂMBITO,CONTEÚDO,PERIODICIDADE,SITUAÇÃO PP,MORADA SEDE REDAÇÃO,CÓDIGO POSTAL SEDE REDAÇÃO,LOCALIDADE SEDE REDAÇÃO,CONCELHO SEDE REDAÇÃO,DISTRITO SEDE REDAÇÃO,EDITOR,DIRETOR,DIRETOR ADJUNTO,SUBDIRETOR,NOME / DESIGNAÇÃO SOCIAL - PROPRIETÁRIO,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA PROP,ENDEREÇO DE CORREIO ELETRÓNICO,WEBSITE
100008,06-07-1972,Linhas de Elvas,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Alfredo Mirante, 10 - B",7350-154,Elvas,Elvas,Portalegre,João Manuel Laureano Alves e Almeida,João Manuel Laureano Alves e Almeida,,,"C.T.C.S. - Composição de Texto para Comunicação Social e Afins, Lda.",Elvas,Portalegre,,semanariolinhasdeelvas@gmail.com,www.linhasdeelvas.pt
100023,17-07-1972,Voz de Lamego,Papel,Regional,Informação Geral,Semanal,Registo Definitivo,Largo dos Loureiros  (Apartado 47),5100-909 Lamego,Lamego,Lamego,Viseu,Fundação Vox Lamacensis,Manuel Pereira Gonçalves,,,Fundação Vox Lamacensis,Lamego,Viseu,,jornal@diocese-lamego.pt,
100035,19-07-1972,A Comarca de Arganil,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,R. Comendador Cruz Pereira,3300-034,Arganil,Arganil,Coimbra,Santa Casa da Misericórdia de Arganil,Nuno Miguel Gonçalves Gomes,,,Santa Casa da Misericórdia de Arganil,Arganil,Coimbra,,geral@acomarcadearganil.pt,
100039,20-07-1972,Voz de Cambra,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. Camilo Tavares de Matos, 28, Loja U",3730-240,Vale de Cambra,Vale de Cambra,Aveiro,"Qwôt - Comunicação e Design, Lda.",Cristina Maria dos Santos,,,Cristina Maria dos Santos,Vale de Cambra,Aveiro,,cristinavozdecambra@gmail.com,
100043,20-07-1972,Correio do Minho.pt,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"Pcta. Escola do Magistério, 34 - Apartado 2290",4700-222,Braga,Braga,Braga,"Arcada Nova - Comunicação, Marketing e Publicidade, Lda.",Paulo Nuno Meneses Monteiro,,,"Arcada Nova - Comunicação, Marketing e Publicidade, Lda.",Braga,Braga,,administracao@correiodominho.pt,www.correiodominho.com
100063,26-07-1972,Jornal Nova Aliança,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,Largo da Igreja de S.Vicente s/n,2200-352 Abrantes,Casa Paroquial,Abrantes,Santarém,Associação Cultural e Desenvolvimento Nova Aliança,Pedro Manuel Bernardino Tropa,---,,Associação Cultural e Desenvolvimento Nova Aliança,Abrantes,Santarém,,novalianca@gmail.com,
100069,26-07-1972,Diário de Coimbra,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. Adriano Lucas, 161",3020-264,Coimbra,Coimbra,Coimbra,"Diário de Coimbra, Lda.",Adriano Callé da Cunha Lucas,"Miguel Callé Lucas, João Luís Campos",,"Diário de Coimbra, Lda",Coimbra,Coimbra,,redac@diariocoimbra.pt,www.diariocoimbra.pt
100077,27-07-1972,Progresso de Paredes,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Largo da Feira, Rua Dr. João Gomes Ferreira, 37",4580-116,Paredes,Paredes,Porto,Carla dos Santos Nunes,Carla dos Santos Nunes,,,"UNI - Comunicação, Lda.",Paredes,Porto,,jornalprogresso@gmail.com,www.progressodeparedes.com.pt
100079,28-07-1972,Solidar,Papel/Online,Nacional,Informação Especializada,Semestral,Registo Definitivo,"R. da Sofia, 193",3000-391,Coimbra,Coimbra,Coimbra,"Previdência Portuguesa - Associação Mutualista, A",António Manuel Marques Martins de Oliveira,,,A Previdência Portuguesa - Associação Mutualista,Coimbra,Coimbra,,geral@aprevidenciaportuguesa.pt,https://www.aprevidenciaportuguesa.pt/
100081,28-07-1972,Reconquista,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. de S. Miguel, Nº 3",6000-181,Castelo Branco,Castelo Branco,Castelo Branco,Fábrica da Igreja Paroquial de São Miguel da Sé,José Júlio Cruz,,,Fábrica da Igreja Paroquial de São Miguel da Sé,Castelo Branco,Castelo Branco,,reconquista@reconquista.pt,www.reconquista.pt
