Listagem de Operadores Radiofónicos e respetivos Serviços de Programas ativos a 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DESIGNAÇÃO SOCIAL OPERADOR,MORADA OPERADOR,CÓDIGO POSTAL ,LOCALIDADE ,CONCELHO ,DISTRITO ,REGIÃO AUTÓNOMA PROP (DESIGNAÇÃO SOCIAL) (LIVROS DE REGISTOS),SERVIÇO DE PROGRAMAS DE RÁDIO,MORADA,CÓDIGO POSTAL,LOCALIDADE,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA ESTUDIO,FREQUÊNCIA,CONTEÚDO (TIPO PROGRAMAÇÃO),ÁREA DE COBERTURA,DISTRITO DE LICENCIAMENTO,CONCELHO DE LICENCIAMENTO,RESPONSÁVEL PROGRAMAÇÃO,RESPONSÁVEL INFORMAÇÃO,NOME CANAL PROGRAMAS (PS),ENDEREÇO DE CORREIO ELETRÓNICO,DATA DE VALIDADE
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP África,"Av. do Marechal Gomes da Costa, 37",1800-255,Lisboa,Lisboa,Lisboa,,,Generalista,Internacional,,,Nuno Jorge Reis Silva,Mário Rui Grilo Galego,AFRICA,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Antena 1,"Av. do Marechal Gomes da Costa, 37",1800-255,Lisboa,Lisboa,Lisboa,,,Generalista,Nacional,,,Nuno Jorge Reis Silva,Mário Rui Grilo Galego,Antena 1,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Antena 1 Açores,R. Castelo Branco,9500-761,Ponta Delgada,Ponta Delgada,Ilha de São Miguel,Região Autónoma dos Açores,,Generalista,Regional,,,Rui Fernando Oliveira Goulart,Rui Fernando Oliveira Goulart,,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Antena 1 Madeira,"Caminho de Santo António, 145",9024-500,Funchal,Funchal,Ilha da Madeira,Região Autónoma da Madeira,,Generalista,Regional,,,Alberto Gil Caires Baptista Rosa,Alberto Gil Caires Baptista Rosa,,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Antena 2,"Av. do Marechal Gomes da Costa, 37",1800-255,Lisboa,Lisboa,Lisboa,,,Temático - Cultural,Nacional,,,Nuno Jorge Reis Silva,Mário Rui Grilo Galego,Antena 2,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Antena 3,"Av. do Marechal Gomes da Costa, 37",1800-255,Lisboa,Lisboa,Lisboa,,,Temático - Segmento de Público,Nacional,,,Nuno Jorge Reis Silva,Mário Rui Grilo Galego,Antena 3,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Antena 3 Madeira,"Caminho de Santo António, 145",9024-500,Funchal,Funchal,Ilha da Madeira,Região Autónoma da Madeira,,Temático - Segmento de Público,Regional,,,Alberto Gil Caires Baptista Rosa,Alberto Gil Caires Baptista Rosa,,graca.martins@rtp.pt,05-03-2031
423000,15-11-1999,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Mundo,"Av. do Marechal Gomes da Costa, 37",1800-255,Lisboa,Lisboa,Lisboa,,,Generalista,Internacional,,,Nuno Jorge Reis Silva,Mário Rui Grilo Galego,RDP/Inte,graca.martins@rtp.pt,05-03-2031
423002,15-06-2000,"Rádio Clube da Lourinhã, CRL",Escola Básica de Capelas - Rua Principal S/N,2530-071,Capelas,Lourinhã,Lisboa,,Rádio Clube da Lourinhã,"Escola Básica de Capelas, R. Principal, S/N",2530-071,Capelas,Lourinhã,Lisboa,,99.0,Generalista,Local,Lisboa,Lourinhã,Marisa dos Santos de Carvalho Batista,Paulo Alexandre Ribeiro da Silva,RCL99.FM,rcl99fm@gmail.com,05-03-2039
423003,06-07-2000,"Interlocal - Comunicação, Lda","R. da Bela Vista, Lugar de Mataduços",4800-085,Guimarães,Guimarães,Braga,,Rádio Fundação FM,"R. Arqueólogo Mário Cardoso, Edifício Guimarães Palace, 411 - R/C",4800-134,Guimarães,Guimarães,Braga,,95.8,Generalista,Local,Braga,Guimarães,Nuno Costa,Sónia Monteiro,FUNDACAO,nuno.costa@radiofundacao.net,29-03-2039
