Listagem de Operadores Televisivos e respetivos Serviços de Programas ativos a 01 de setembro de 2026,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DESIGNAÇÃO SOCIAL,MORADA OPERADOR,CÓDIGO POSTAL,LOCALIDADE ,CONCELHO ,DISTRITO ,REGIÃO AUTÓNOMA ,NOME DE SERVIÇO DE PROGRAMAS,ÂMBITO,TIPO DE PROGRAMAÇÃO,TIPO DE ACESSO,RESPONSÁVEL DE PROGRAMAÇÃO,RESPONSÁVEL DE INFORMAÇÃO,ENDEREÇO DE CORREIO ELETRÓNICO
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC,Nacional,Generalista,Acesso não condicionado livre,Daniel Carlos Ferreira de Oliveira,Bernardo Ferrão,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Caras,Nacional,Temático - Entretenimento,Acesso não condicionado com assinatura,Nelson Furtado Rodrigues,-,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Internacional,Internacional,Generalista,Acesso não condicionado com assinatura,Daniel Oliveira; Aida Pinto,Bernardo Ferrão,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC K,Nacional,Temático - Infantil e Juvenil,Acesso não condicionado com assinatura,Vanessa Fino Tierno Nunes da Silva Barreto,-,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Mulher,Nacional,Temático - Mulher,Acesso não condicionado com assinatura,Nelson Furtado Rodrigues,-,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Mulher África,Internacional,Temático,Acesso não condicionado com assinatura,Nelson Furtado Rodrigues,,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Notícias,Nacional,Temático - Informação,Acesso não condicionado com assinatura,Bernardo Ferrão,Bernardo Ferrão,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Novelas,Nacional,Temático,Acesso não condicionado com assinatura,Aida Pinto,,snferreira@impresa.pt
523383,10-03-1992,"SIC - Sociedade Independente de Comunicação, S.A.","R. Calvet de Magalhães, 242",2770-022,Paço de Arcos,Oeiras,Lisboa,,SIC Radical,Nacional,Temático - Entretenimento,Acesso não condicionado com assinatura,Pedro Boucherie Mendes,-,snferreira@impresa.pt
523384,02-04-1992,"TVI - Televisão Independente, S.A.","R. Mário Castelhano, 40",2734-502,Queluz de Baixo,Oeiras,Lisboa,,CNN Portugal,Nacional,Temático - Informação,Acesso não condicionado com assinatura,Nuno Miguel Duarte dos Santos,Nuno Miguel Duarte dos Santos,splopes@mediacapital.pt
523384,02-04-1992,"TVI - Televisão Independente, S.A.","R. Mário Castelhano, 40",2734-502,Queluz de Baixo,Oeiras,Lisboa,,TVI,Nacional,Generalista,Acesso não condicionado livre,José Eduardo Moniz,Nuno Miguel Duarte dos Santos,splopes@mediacapital.pt
