id_media,code,nom,pays_code,pays_nom,langue,type_media,support,periodicite,thematique,couverture,groupe_media,ville,url,priorite_rp,actif,notes,source_liste
MED-BE-0001,7SUR7,7sur7,BE,Belgique,fr,Web,Web,Continu,Généraliste,Nationale,DPG Media,Anvers,https://www.7sur7.be,2,true,Pure player francophone du groupe HLN.,SEED
MED-BE-0002,APACHE,Apache,BE,Belgique,nl,Web,Web,Continu,Généraliste,Nationale,Apache,Anvers,https://www.apache.be,3,true,Pure player d'enquête flamand.,SEED
MED-BE-0003,BELRTL,Bel RTL,BE,Belgique,fr,Radio,Radio,Continu,Généraliste,Nationale,RTL Belgium,Bruxelles,https://www.belrtl.be,2,true,Radio généraliste privée francophone.,SEED
MED-BE-0004,BELGA,Belga,BE,Belgique,fr,Web,Web,Continu,Généraliste,Nationale,Belga News Agency,Bruxelles,https://www.belganewsagency.eu/,1,true,Agence nationale (FR/NL + EN). Site corporate belga.be ; fil public EN.,SEED
MED-BE-0005,BRUZZ,BRUZZ,BE,Belgique,nl,Web,Web,Continu,Régional,Régionale,Vlaams-Brusselse Media,Bruxelles,https://www.bruzz.be,2,true,"Média bruxellois (NL, contenus aussi en FR/EN).",SEED
MED-BE-0006,DEMORGEN,De Morgen,BE,Belgique,nl,Print,Print,Quotidien,Généraliste,Nationale,DPG Media,Bruxelles,https://www.demorgen.be,1,true,"Quotidien flamand, ligne progressiste.",SEED
MED-BE-0007,STANDAARD,De Standaard,BE,Belgique,nl,Print,Print,Quotidien,Généraliste,Nationale,Mediahuis,Bruxelles,https://www.standaard.be,1,true,Quotidien flamand de référence.,SEED
MED-BE-0008,DETIJD,De Tijd,BE,Belgique,nl,Print,Print,Quotidien,Économie,Nationale,Mediafin (Rossel / Roularta),Bruxelles,https://www.tijd.be,1,true,"Quotidien économique flamand, pendant de L'Echo.",SEED
MED-BE-0009,GVA,Gazet van Antwerpen,BE,Belgique,nl,Print,Print,Quotidien,Régional,Régionale,Mediahuis,Anvers,https://www.gva.be,2,true,PQR anversoise.,SEED
MED-BE-0010,GRENZECHO,GrenzEcho,BE,Belgique,de,Print,Print,Quotidien,Régional,Régionale,Grenz-Echo / Groupe Rossel,Eupen,https://www.grenzecho.net,3,true,Quotidien de la Communauté germanophone.,SEED
MED-BE-0011,HBVL,Het Belang van Limburg,BE,Belgique,nl,Print,Print,Quotidien,Régional,Régionale,Mediahuis,Hasselt,https://www.hbvl.be,2,true,PQR limbourgeoise.,SEED
MED-BE-0012,HLN,Het Laatste Nieuws,BE,Belgique,nl,Print,Print,Quotidien,Généraliste,Nationale,DPG Media,Anvers,https://www.hln.be,1,true,Premier quotidien néerlandophone en audience.,SEED
MED-BE-0013,NIEUWSBLAD,Het Nieuwsblad,BE,Belgique,nl,Print,Print,Quotidien,Généraliste,Nationale,Mediahuis,Anvers,https://www.nieuwsblad.be,1,true,Quotidien populaire flamand.,SEED
MED-BE-0014,KNACK,Knack,BE,Belgique,nl,Print,Print,Hebdomadaire,Généraliste,Nationale,Roularta Media Group,Bruxelles,https://www.knack.be,2,true,News magazine flamand.,SEED
MED-BE-0015,LAVENIR,L'Avenir,BE,Belgique,fr,Print,Print,Quotidien,Régional,Régionale,IPM Group,Namur,https://www.lavenir.net,2,true,PQR wallonne (éditions provinciales).,SEED
MED-BE-0016,LECHO,L'Echo,BE,Belgique,fr,Print,Print,Quotidien,Économie,Nationale,Mediafin (Rossel / Roularta),Bruxelles,https://www.lecho.be,1,true,Quotidien économique francophone.,SEED
MED-BE-0017,LADH,La DH / La Dernière Heure,BE,Belgique,fr,Print,Print,Quotidien,Généraliste,Nationale,IPM Group,Bruxelles,https://www.dhnet.be,2,true,"Quotidien populaire francophone, fort sur le sport.",SEED
MED-BE-0018,LALIBRE,La Libre Belgique,BE,Belgique,fr,Print,Print,Quotidien,Généraliste,Nationale,IPM Group,Bruxelles,https://www.lalibre.be,1,true,"Quotidien francophone, ligne plutôt centre-droit.",SEED
MED-BE-0019,LAPREMIERE,La Première,BE,Belgique,fr,Radio,Radio,Continu,Généraliste,Nationale,RTBF,Bruxelles,https://www.rtbf.be/lapremiere,2,true,Radio généraliste de service public francophone.,SEED
MED-BE-0020,LESOIR,Le Soir,BE,Belgique,fr,Print,Print,Quotidien,Généraliste,Nationale,Groupe Rossel,Bruxelles,https://www.lesoir.be,1,true,Quotidien francophone de référence.,SEED
MED-BE-0021,LEVIF,Le Vif,BE,Belgique,fr,Print,Print,Hebdomadaire,Généraliste,Nationale,Roularta Media Group,Bruxelles,https://www.levif.be,2,true,News magazine francophone.,SEED
MED-BE-0022,LN24,LN24,BE,Belgique,fr,TV,TV,Continu,Généraliste,Nationale,IPM Group,Bruxelles,https://www.ln24.be,2,true,Chaîne d'information en continu francophone.,SEED
MED-BE-0023,METROBE,Metro Belgique,BE,Belgique,fr,Print,Print,Quotidien,Généraliste,Nationale,Groupe Rossel,Bruxelles,https://www.metrotime.be,3,true,Gratuit bilingue (FR/NL) de transport.,SEED
MED-BE-0024,QMUSIC,Qmusic,BE,Belgique,nl,Radio,Radio,Continu,Généraliste,Nationale,DPG Media,Vilvoorde,https://qmusic.be,3,true,Radio musicale flamande à forte audience.,SEED
MED-BE-0025,RADIO1,Radio 1,BE,Belgique,nl,Radio,Radio,Continu,Généraliste,Nationale,VRT,Bruxelles,https://www.radio1.be,2,true,Radio généraliste de service public flamand.,SEED
MED-BE-0026,RADIOCONTACT,Radio Contact,BE,Belgique,fr,Radio,Radio,Continu,Généraliste,Nationale,RTL Belgium,Bruxelles,https://www.radiocontact.be,3,true,Radio musicale ; utile pour visibilité grand public.,SEED
MED-BE-0027,RTBF,RTBF / La Une,BE,Belgique,fr,TV,TV,Continu,Généraliste,Nationale,RTBF,Bruxelles,https://www.rtbf.be,1,true,"Service public francophone (La Une, Tipik, La Trois, Auvio).",SEED
MED-BE-0028,RTLTVI,RTL-TVI,BE,Belgique,fr,TV,TV,Continu,Généraliste,Nationale,RTL Belgium,Bruxelles,https://www.rtl.be,1,true,Première chaîne privée francophone.,SEED
